date,temperature,humidity,lumnosity
2022-11-27 12:55:30.143,25.0,48.4,256
2022-11-27 12:55:28.499,25.0,48.7,255
2022-11-27 12:55:26.855,25.0,48.8,256
2022-11-27 12:55:25.212,25.0,48.8,256
2022-11-27 12:55:23.569,25.0,48.9,256
2022-11-27 12:55:21.925,25.0,48.0,256
2022-11-27 12:55:20.282,25.0,48.0,256
2022-11-27 12:55:18.639,25.0,48.5,255
2022-11-27 12:55:16.996,25.0,48.7,254
2022-11-27 12:55:15.352,25.0,48.8,253
2022-11-27 12:55:13.708,25.0,48.8,254
2022-11-27 12:55:12.065,25.0,49.2,254
2022-11-27 12:55:10.422,25.0,49.3,254
2022-11-27 12:55:08.778,25.0,49.6,254
2022-11-27 12:55:07.135,25.0,49.7,254
2022-11-27 12:55:05.492,25.0,49.9,254
2022-11-27 12:54:35.968,25.0,49.3,255
2022-11-27 12:54:34.325,25.0,49.1,255
2022-11-27 12:54:32.682,25.0,49.1,255
2022-11-27 12:54:31.039,25.0,49.1,255
2022-11-27 12:54:29.395,25.0,49.1,255
2022-11-27 12:54:27.752,25.0,48.9,255
2022-11-27 12:54:26.109,25.0,48.8,256
2022-11-27 12:54:26.466,25.0,48.6,255
2022-11-27 12:54:22.823,25.0,48.3,255
2022-11-27 12:54:21.180,25.0,48.3,255
2022-11-27 12:54:19.537,25.0,48.8,255
2022-11-27 12:54:17.893,25.0,48.3,254
2022-11-27 12:54:16.250,25.0,48.9,255
2022-11-27 12:54:14.606,25.1,48.8,255
2022-11-27 12:54:12.963,25.1,48.9,255
2022-11-27 12:54:11.321,25.0,48.6,255
2022-11-27 12:54:09.677,25.0,48.9,254
2022-11-27 12:54:08.033,25.0,48.8,255
2022-11-27 12:54:06.389,25.0,48.7,255
2022-11-27 12:54:04.746,25.0,48.6,255
2022-11-27 12:54:03.103,25.0,48.6,255
2022-11-27 12:54:01.460,25.0,48.8,255
2022-11-27 12:53:59.817,25.0,48.7,254
2022-11-27 12:53:58.173,25.0,48.6,254
2022-11-27 12:53:56.530,25.1,48.8,254
2022-11-27 12:53:54.886,25.0,48.7,254
2022-11-27 12:53:53.242,25.0,48.7,254
2022-11-27 12:53:51.597,25.0,48.6,255
2022-11-27 12:53:49.955,25.0,48.9,255
2022-11-27 12:53:48.311,25.0,48.8,255
2022-11-27 12:53:46.670,25.0,48.6,254
2022-11-27 12:53:45.027,25.0,48.8,254
2022-11-27 12:53:43.384,25.1,48.7,255
2022-11-27 12:53:41.742,25.0,48.7,255
2022-11-27 12:53:40.099,25.0,48.8,256
2022-11-27 12:53:38.456,25.0,48.8,256
2022-11-27 12:53:36.813,25.0,48.8,256
