date,temperature,humidity,luminosity
2022-11-26 17:17:02.095,26.0,47.1,242
2022-11-26 17:17:01.092,26.0,47.1,241
2022-11-26 17:16:59.818,26.0,47.1,243
2022-11-26 17:16:58.814,26.0,47.1,243
2022-11-26 17:16:57.536,26.0,47.2,241
2022-11-26 17:16:56.537,26.0,47.2,242
2022-11-26 17:16:55.259,26.0,47.4,243
2022-11-26 17:16:54.259,26.0,47.4,243
2022-11-26 17:16:52.981,26.0,47.5,242
2022-11-26 17:16:51.977,26.0,47.5,243
2022-11-26 17:16:50.703,26.0,47.5,244
2022-11-26 17:16:49.700,26.0,47.5,243
2022-11-26 17:16:48.422,26.0,47.5,242
2022-11-26 17:16:47.422,26.0,47.5,243
2022-11-26 17:16:46.144,26.0,47.5,243
2022-11-26 17:16:45.145,26.0,47.5,241
2022-11-26 17:16:43.866,26.0,47.5,241
2022-11-26 17:16:42.863,26.0,47.5,243
2022-11-26 17:16:41.589,26.0,47.5,243
2022-11-26 17:16:40.585,26.0,47.5,241
2022-11-26 17:16:39.307,26.0,47.4,242
2022-11-26 17:16:38.308,26.0,47.4,243
2022-11-26 17:16:37.030,26.0,47.4,243
2022-11-26 17:16:36.030,26.0,47.4,242
2022-11-26 17:16:34.752,26.0,47.5,242
2022-11-26 17:16:33.748,26.0,47.5,243
2022-11-26 17:16:32.474,26.0,47.6,242
2022-11-26 17:16:31.471,26.0,47.6,241
2022-11-26 17:16:30.193,26.0,47.7,243
2022-11-26 17:16:29.193,26.0,47.7,243
2022-11-26 17:16:27.915,26.0,47.7,241
2022-11-26 17:16:26.915,26.0,47.7,244
2022-11-26 17:16:25.637,26.0,47.8,244
2022-11-26 17:16:24.634,26.0,47.8,245
2022-11-26 17:16:23.360,26.0,47.9,243
2022-11-26 17:16:22.356,26.0,47.9,244
2022-11-26 17:16:21.078,26.0,47.9,244
2022-11-26 17:16:20.078,26.0,47.9,243
2022-11-26 17:16:18.801,26.0,48.0,241
2022-11-26 17:16:17.801,26.0,48.0,241
2022-11-26 17:16:16.523,26.0,48.0,243
2022-11-26 17:16:15.519,26.0,48.0,243
2022-11-26 17:16:14.245,26.0,48.0,243
2022-11-26 17:16:13.242,26.0,48.0,243
2022-11-26 17:16:11.964,26.0,48.0,245
2022-11-26 17:16:10.964,26.0,48.0,244
2022-11-26 17:16:09.686,26.0,48.0,243
2022-11-26 17:16:08.686,26.0,48.0,244
2022-11-26 17:16:07.408,26.0,48.0,245
2022-11-26 17:16:06.405,26.0,48.0,244
2022-11-26 17:16:05.131,26.0,48.1,243
